Country,Country Code,GINI Index,GINI Index Normalized,Access to Electricity (% of population),Access to Electricity (% of population) Normalized,Forest Area as % of land area,Forest Area as % of land area normalized,% of Population living in Slums,% of Population living in Slums Normalized,"GNI, PPP","GNI, PPP Normalized",Renewable energy consumption as % of total energy consumption,Renewable energy consumption as % of total energy consumption normalized,Normalized score
Algeria,DZA,27.6,0.0274725274725275,100,1,0.824439265237154,0.00915070771186748,N/A,,"496,317.41",0.0519307616414652,0.06,0.000530335171828596,0.406827855410527
Angola,AGO,51.3,0.678571428571429,43.3,0.234817813765182,46.3072104104837,0.514306544274502,55.5,0.647907647907648,"203,208.99",0.0210918507754011,49.57,0.525668222316504,0.328234225775419
Azerbaijan,AZE,26.6,0,100,1,14.0996733412023,0.156592514935828,N/A,,"143,908.32",0.0148526302288611,2.31,0.0243954179041154,0.439168112613761
Benin,BEN,47.8,0.582417582417582,41.5,0.210526315789474,37.7882227740334,0.419690138593874,61.5,0.734487734487734,"39,999.05",0.00391999064215871,50.86,0.539350869749682,0.309430332978312
Cabo Verde,CPV,42.4,0.434065934065934,93.6,0.913630229419703,22.545905858648,0.250400863585638,N/A,,"4,019.65",0.000134478408786277,26.58,0.281820110309716,0.402383949531582
Comoros,COM,45.3,0.513736263736264,81.9,0.755735492577598,39.3391296989698,0.436915335418296,69.6,0.851370851370851,"2,741.50",0,45.33,0.480695799745439,0.384706585439036
Djibouti,DJI,41.6,0.412087912087912,60.4,0.465587044534413,0.241587571381906,0.00267724693567273,65.6,0.793650793650794,"5,819.93",0.000323891849908022,15.38,0.16302503182011,0.2376457515669
Egypt,EGY,31.5,0.134615384615385,100,1,0.0739364091356885,0.000815223998575657,10.6,0,"1,185,110.32",0.124400952558079,5.71,0.0604582095884599,0.508509833588288
Equitorial Guinea,GNQ,N/A,,67,0.554655870445344,55.4866318864192,0.616258079286058,66.2,0.802308802308802,"19,797.71",0.00179454053180346,7.82,0.0828383538396266,0.290647608358806
Estonia,EST,30.4,0.104395604395604,100,1,51.3365561917702,0.570165132296662,N/A,,"50,421.45",0.00501656597974358,27.48,0.29136614340263,0.552430447456686
Ethiopia,ETH,35,0.230769230769231,45,0.257759784075574,12.539599609375,0.139265506680682,73.9,0.913419913419913,"257,833.63",0.026839090667216,92.16,0.977407721680102,0.376180493152405
Gabon,GAB,38,0.313186813186813,93,0.9055330634278,90.03764504987,1,37,0.380952380952381,"31,328.42",0.0030077248473971,82.01,0.869749681798897,0.680691879322483
Greece,GRC,34.4,0.214285714285714,100,1,31.6850267740254,0.351904799146456,N/A,,"335,971.43",0.035060228256748,17.17,0.182011030971574,0.470938068817813
Greenland,GRL,N/A,,100,1,0.000535997073475227,0,N/A,,N/A,,15.53,0.164616037335596,0.388205345778532
Iceland,ISL,26.8,0.00549450549450549,100,1,0.503740648379052,0.0055888583784993,N/A,,"22,101.27",0.00203690573412221,77.03,0.816928298684769,0.563811911460577
